i-index (unitless),j-index (unitless),X-value (cm),Y-value (cm),Longitude (deg),Latitude (deg),First Pass (m),Third Pass (m),Pass_3_minus_Pass_1 (m) joe (m)
15,20,44.3,12.75,261.0564,29.6324,5694.5119,5733.4459,38.9341
15,21,45.57,12.75,260.6311,28.3213,5707.1291,5775.5201,68.3909
16,0,18.9,14.02,281.568,56.9262,5299.9304,5116.7699,-183.1605
16,1,20.17,14.02,279.8028,55.5603,5341.5966,5207.7501,-133.8464
16,2,21.44,14.02,278.1814,54.1765,5395.6948,5312.8899,-82.8049
16,3,22.71,14.02,276.6891,52.7788,5448.1202,5389.1499,-58.9704
16,4,23.98,14.02,275.3129,51.371,5499.7877,5461.0949,-38.6928
16,5,25.25,14.02,274.0411,49.9563,5540.7863,5508.2039,-32.5824
16,6,26.52,14.02,272.8635,48.5375,5570.2409,5532.1484,-38.0925
16,7,27.79,14.02,271.7709,47.1172,5595.3584,5559.0588,-36.2997
16,8,29.06,14.02,270.755,45.6976,5613.24,5590.1893,-23.0507
16,9,30.33,14.02,269.8087,44.2805,5623.3074,5615.1273,-8.1801
16,10,31.6,14.02,268.9255,42.8677,5634.4792,5638.098,3.6188
16,11,32.87,14.02,268.0996,41.4607,5643.3125,5657.4478,14.1353
16,12,34.14,14.02,267.3261,40.0608,5651.1775,5670.6882,19.5107
16,13,35.41,14.02,266.6003,38.6693,5657.4577,5681.9151,24.4573
16,14,36.68,14.02,265.9181,37.2871,5664.9499,5685.9688,21.019
16,15,37.95,14.02,265.2759,35.9153,5672.9643,5688.4024,15.4381
16,16,39.22,14.02,264.6705,34.5546,5681.444,5691.324,9.88
16,17,40.49,14.02,264.0988,33.2058,5690.1741,5701.6111,11.437
16,18,41.76,14.02,263.5583,31.8694,5697.1609,5716.1412,18.9803
16,19,43.03,14.02,263.0466,30.5461,5705.8735,5751.7047,45.8313
16,20,44.3,14.02,262.5615,29.2364,5715.3116,5791.2901,75.9785
16,21,45.57,14.02,262.101,27.9406,5726.5846,5824.8242,98.2396
17,0,18.9,15.29,283.9727,55.8952,5319.5423,5185.1767,-134.3657
17,1,20.17,15.29,282.1642,54.5785,5371.1313,5281.3246,-89.8068
17,2,21.44,15.29,280.4947,53.241,5421.7148,5367.0034,-54.7114
17,3,22.71,15.29,278.9513,51.8871,5474.6576,5425.1524,-49.5052
17,4,23.98,15.29,277.5222,50.5206,5523.9353,5490.9984,-32.9369
17,5,25.25,15.29,276.1968,49.1449,5561.8592,5528.505,-33.3542
17,6,26.52,15.29,274.9654,47.7628,5592.7292,5545.8699,-46.8593
17,7,27.79,15.29,273.8195,46.3772,5618.3684,5577.8854,-40.4831
17,8,29.06,15.29,272.7512,44.9902,5634.6081,5605.8963,-28.7118
17,9,30.33,15.29,271.7536,43.604,5646.4558,5634.403,-12.0528
17,10,31.6,15.29,270.8205,42.2203,5657.0502,5657.801,0.7508
17,11,32.87,15.29,269.9462,40.8409,5666.4999,5678.1078,11.6078
17,12,34.14,15.29,269.1258,39.4671,5675.5182,5696.1463,20.6281
17,13,35.41,15.29,268.3546,38.1003,5682.9328,5711.6612,28.7284
17,14,36.68,15.29,267.6287,36.7415,5691.4778,5726.0964,34.6186
17,15,37.95,15.29,266.9444,35.3918,5699.5067,5734.5264,35.0197
17,16,39.22,15.29,266.2984,34.0522,5707.0956,5742.7236,35.6281
17,17,40.49,15.29,265.6877,32.7233,5713.7375,5753.6471,39.9096
17,18,41.76,15.29,265.1097,31.406,5721.1007,5768.8684,47.7677
17,19,43.03,15.29,264.5618,30.1007,5728.4765,5796.4391,67.9626
17,20,44.3,15.29,264.0419,28.8082,5734.5896,5836.4891,101.8995
17,21,45.57,15.29,263.548,27.5287,5744.4743,5866.6417,122.1674
18,0,18.9,16.56,286.2245,54.8171,5350.6422,5256.6636,-93.9786
18,1,20.17,16.56,284.3867,53.5491,5398.8582,5350.2827,-48.5755
18,2,21.44,16.56,282.6821,52.258,5450.9376,5411.628,-39.3096
18,3,22.71,16.56,281.0993,50.9481,5501.0376,5467.4949,-33.5427
18,4,23.98,16.56,279.628,49.6234,5546.4496,5516.8595,-29.5901
18,5,25.25,16.56,278.2585,48.2872,5583.005,5548.4556,-34.5494
18,6,26.52,16.56,276.9821,46.9427,5611.7958,5572.2219,-39.5739
18,7,27.79,16.56,275.7906,45.5925,5634.2308,5602.7307,-31.5001
18,8,29.06,16.56,274.6769,44.2392,5651.8494,5627.2497,-24.5997
18,9,30.33,16.56,273.6343,42.8849,5665.3599,5653.9368,-11.4231
18,10,31.6,16.56,272.6568,41.5314,5677.4497,5678.3421,0.8924
18,11,32.87,16.56,271.7391,40.1806,5690.189,5701.5787,11.3897
18,12,34.14,16.56,270.8762,38.834,5700.9359,5722.0461,21.1102
18,13,35.41,16.56,270.0638,37.493,5708.9728,5740.4394,31.4666
18,14,36.68,16.56,269.2979,36.1587,5717.1204,5757.0066,39.8862
18,15,37.95,16.56,268.5747,34.8323,5724.5425,5771.7405,47.1979
18,16,39.22,16.56,267.8911,33.5148,5731.6713,5783.8048,52.1335
18,17,40.49,16.56,267.2441,32.207,5737.5297,5794.7249,57.1952
18,18,41.76,16.56,266.6309,30.9096,5742.9608,5806.4741,63.5133
18,19,43.03,16.56,266.0491,29.6235,5748.0718,5826.18,78.1082
18,20,44.3,16.56,265.4965,28.3491,5753.2255,5859.2595,106.0339
18,21,45.57,16.56,264.971,27.0869,5761.4835,5888.6435,127.1601
19,0,18.9,17.83,288.3314,53.698,5380.4403,5313.9624,-66.4779
19,1,20.17,17.83,286.4762,52.4779,5426.6545,5398.4076,-28.247
19,2,21.44,17.83,284.7477,51.2327,5476.5192,5456.9229,-19.5963
19,3,22.71,17.83,283.1361,49.9667,5521.4983,5493.7758,-27.7226
19,4,23.98,17.83,281.6321,48.6838,5564.4083,5535.9538,-28.4545
19,5,25.25,17.83,280.2274,47.3875,5598.3059,5568.6695,-29.6364
19,6,26.52,17.83,278.9138,46.081,5624.0289,5596.0317,-27.9972
19,7,27.79,17.83,277.6841,44.7669,5645.556,5623.3944,-22.1615
19,8,29.06,17.83,276.5315,43.4479,5664.871,5650.7557,-14.1153
19,9,30.33,17.83,275.4499,42.1262,5680.2226,5674.7301,-5.4925
19,10,31.6,17.83,274.4335,40.8038,5694.9495,5699.1309,4.1813
19,11,32.87,17.83,273.4772,39.4825,5709.0949,5722.3783,13.2834
19,12,34.14,17.83,272.5763,38.164,5720.1332,5742.186,22.0529
19,13,35.41,17.83,271.7266,36.8497,5729.2495,5762.8065,33.557
19,14,36.68,17.83,270.9242,35.5408,5737.5347,5781.6847,44.15
19,15,37.95,17.83,270.1655,34.2387,5744.6404,5796.7693,52.1289
19,16,39.22,17.83,269.4473,32.9442,5751.239,5810.7624,59.5234
19,17,40.49,17.83,268.7666,31.6583,5756.2519,5820.2743,64.0224
19,18,41.76,17.83,268.1207,30.3819,5761.2146,5832.282,71.0674
19,19,43.03,17.83,267.5073,29.1157,5766.3431,5845.5879,79.2448
19,20,44.3,17.83,266.924,27.8604,5771.9272,5866.8506,94.9233
19,21,45.57,17.83,266.3687,26.6165,5777.5077,5907.0868,129.5791
20,0,18.9,19.1,290.3016,52.5434,5408.095,5311.5942,-96.5008
20,1,20.17,19.1,288.4392,51.3701,5450.5806,5395.3422,-55.2384
20,2,21.44,19.1,286.6965,50.17,5496.3873,5477.8263,-18.561
20,3,22.71,19.1,285.0652,48.9475,5536.9491,5499.3763,-37.5728
20,4,23.98,19.1,283.5372,47.7063,5576.187,5549.2657,-26.9213
20,5,25.25,19.1,282.1052,46.4499,5610.909,5592.3182,-18.5908
20,6,26.52,19.1,280.7619,45.1814,5634.413,5619.415,-14.9979
20,7,27.79,19.1,279.5006,43.9038,5655.1956,5645.3212,-9.8745
20,8,29.06,19.1,278.3154,42.6196,5674.4878,5670.3312,-4.1566
20,9,30.33,19.1,277.2002,41.3311,5691.7329,5694.2619,2.529
20,10,31.6,19.1,276.15,40.0404,5708.2199,5717.4937,9.2738
20,11,32.87,19.1,275.1599,38.7493,5722.848,5738.6731,15.8251
20,12,34.14,19.1,274.2253,37.4595,5734.7566,5759.8322,25.0756
20,13,35.41,19.1,273.3422,36.1727,5744.5804,5778.6473,34.0669
20,14,36.68,19.1,272.5069,34.89,5753.601,5797.3447,43.7436
20,15,37.95,19.1,271.7158,33.6128,5763.0947,5816.3763,53.2816
20,16,39.22,19.1,270.9659,32.3422,5771.1734,5832.9533,61.7799
20,17,40.49,19.1,270.2543,31.0791,5777.5123,5844.2955,66.7832
20,18,41.76,19.1,269.5782,29.8245,5783.6793,5853.7831,70.1038
20,19,43.03,19.1,268.9353,28.579,5788.9314,5865.7731,76.8417
20,20,44.3,19.1,268.3233,27.3435,5791.3781,5879.2293,87.8512
20,21,45.57,19.1,267.7403,26.1186,5795.7099,5882.8888,87.1789
21,0,18.9,20.37,292.1438,51.3583,5431.1405,5293.1073,-138.0332
21,1,20.17,20.37,290.2827,50.2306,5470.5136,5380.3171,-90.1965
21,2,21.44,20.37,288.534,49.0747,5511.7489,5459.0895,-52.6594
21,3,22.71,20.37,286.8909,47.8949,5550.0334,5521.6515,-28.3818
21,4,23.98,20.37,285.3465,46.6949,5586.3775,5569.941,-16.4365
21,5,25.25,20.37,283.8943,45.4782,5620.2799,5615.0374,-5.2425
21,6,26.52,20.37,282.5279,44.2478,5642.1311,5639.7707,-2.3604
21,7,27.79,20.37,281.2413,43.0068,5663.0108,5663.2235,0.2127
21,8,29.06,20.37,280.0291,41.7575,5682.962,5687.1091,4.1471
21,9,30.33,20.37,278.8858,40.5025,5701.0787,5710.4806,9.4019
21,10,31.6,20.37,277.8066,39.2439,5717.5575,5733.0877,15.5303
21,11,32.87,20.37,276.7871,37.9834,5732.5943,5754.3084,21.7141
21,12,34.14,20.37,275.8229,36.723,5745.6666,5773.6786,28.0119
21,13,35.41,20.37,274.9101,35.4642,5757.4572,5791.0554,33.5982
21,14,36.68,20.37,274.0453,34.2084,5769.2733,5809.2541,39.9809
21,15,37.95,20.37,273.2251,32.9568,5779.985,5827.933,47.948
21,16,39.22,20.37,272.4464,31.7107,5789.6085,5845.0527,55.4442
21,17,40.49,20.37,271.7064,30.4711,5797.7346,5859.7332,61.9985
21,18,41.76,20.37,271.0025,29.2389,5804.2019,5870.7531,66.5512
21,19,43.03,20.37,270.3324,28.0149,5808.1718,5879.4808,71.3089
21,20,44.3,20.37,269.6939,26.7999,5811.3252,5889.4863,78.1611
21,21,45.57,20.37,269.0849,25.5946,5815.9619,5895.788,79.8262
22,0,18.9,21.64,293.8666,50.1474,5450.7137,5312.0364,-138.6773
22,1,20.17,21.64,292.0136,49.0638,5484.9212,5395.1409,-89.7802
22,2,21.44,21.64,290.266,47.9511,5524.2991,5480.0276,-44.2716
22,3,22.71,21.64,288.6179,46.8131,5560.7564,5543.7924,-16.964
22,4,23.98,21.64,287.0637,45.6537,5596.4693,5590.9774,-5.4919
22,5,25.25,21.64,285.5976,44.4761,5624.8174,5628.7062,3.8888
22,6,26.52,21.64,284.214,43.2836,5648.0084,5655.7989,7.7905
22,7,27.79,21.64,282.9078,42.0789,5669.5658,5679.6576,10.0917
22,8,29.06,21.64,281.6738,40.8648,5689.5401,5701.0578,11.5178
22,9,30.33,21.64,280.5073,39.6434,5707.3994,5722.8429,15.4435
22,10,31.6,21.64,279.4037,38.417,5725.1999,5745.6183,20.4185
22,11,32.87,21.64,278.359,37.1876,5740.1068,5765.2076,25.1009
22,12,34.14,21.64,277.369,35.9569,5756.363,5784.4188,28.0558
22,13,35.41,21.64,276.4302,34.7266,5771.1967,5802.3503,31.1536
22,14,36.68,21.64,275.5392,33.498,5784.3159,5819.5854,35.2695
22,15,37.95,21.64,274.6928,32.2727,5795.0489,5834.1627,39.1138
22,16,39.22,21.64,273.8881,31.0516,5804.8663,5850.104,45.2377
22,17,40.49,21.64,273.1224,29.836,5813.9869,5866.5503,52.5634
22,18,41.76,21.64,272.3932,28.6268,5820.5415,5876.6427,56.1012
22,19,43.03,21.64,271.698,27.4249,5825.7334,5888.2215,62.4882
22,20,44.3,21.64,271.0349,26.231,5829.5812,5897.3818,67.8006
22,21,45.57,21.64,270.4018,25.046,5833.5093,5898.7209,65.2116
23,0,18.9,22.91,295.4785,48.9149,5464.6514,5336.0272,-128.6241
23,1,20.17,22.91,293.6393,47.874,5497.3726,5422.7405,-74.632
23,2,21.44,22.91,291.8984,46.803,5534.7574,5500.2594,-34.498
23,3,22.71,22.91,290.2512,45.7059,5568.0529,5556.3917,-11.6612
23,4,23.98,22.91,288.6928,44.5862,5600.7023,5599.3409,-1.3615
23,5,25.25,22.91,287.2183,43.4472,5627.4496,5635.5598,8.1102
23,6,26.52,22.91,285.823,42.2921,5651.0327,5663.3944,12.3617
23,7,27.79,22.91,284.5021,41.1236,5672.8719,5688.3973,15.5254
23,8,29.06,22.91,283.2511,39.9443,5693.5805,5709.905,16.3245
23,9,30.33,22.91,282.0659,38.7566,5711.5063,5731.555,20.0487
23,10,31.6,22.91,280.9421,37.5626,5729.7264,5753.2845,23.5581
23,11,32.87,22.91,279.876,36.3643,5747.1335,5773.1315,25.9981
23,12,34.14,22.91,278.864,35.1635,5765.5588,5792.1365,26.5776
23,13,35.41,22.91,277.9026,33.962,5782.6677,5808.386,25.7183
23,14,36.68,22.91,276.9885,32.7611,5797.3709,5824.6723,27.3014
23,15,37.95,22.91,276.1189,31.5623,5808.6206,5838.8704,30.2498
23,16,39.22,22.91,275.2909,30.3667,5818.5433,5851.515,32.9717
23,17,40.49,22.91,274.502,29.1756,5827.0785,5863.5616,36.4831
23,18,41.76,22.91,273.7497,27.9898,5832.8586,5874.3324,41.4738
23,19,43.03,22.91,273.0317,26.8105,5837.5551,5876.226,38.6709
23,20,44.3,22.91,272.346,25.6383,5842.0514,5881.5647,39.5133
23,21,45.57,22.91,271.6906,24.474,5847.759,5887.7159,39.9568
24,0,18.9,24.18,296.9875,47.6646,5476.2312,5359.9917,-116.2395
24,1,20.17,24.18,295.1665,46.6647,5506.0145,5447.5998,-58.4146
24,2,21.44,24.18,293.4371,45.6342,5540.4545,5512.1845,-28.2701
24,3,22.71,24.18,291.7956,44.5768,5572.1427,5560.764,-11.3787
24,4,23.98,24.18,290.2379,43.4959,5603.0857,5602.5411,-0.5447
24,5,25.25,24.18,288.7599,42.3948,5630.229,5638.6172,8.3882
24,6,26.52,24.18,287.3575,41.2765,5653.5012,5667.483,13.9818
24,7,27.79,24.18,286.0264,40.1437,5674.6318,5693.6111,18.9793
24,8,29.06,24.18,284.7629,38.999,5696.3341,5716.7173,20.3833
24,9,30.33,24.18,283.5629,37.8447,5714.4542,5737.199,22.7447
24,10,31.6,24.18,282.4229,36.683,5734.0208,5758.9069,24.8861
24,11,32.87,24.18,281.3391,35.5159,5753.9747,5779.3181,25.3434
24,12,34.14,24.18,280.3084,34.3452,5774.6061,5798.6258,24.0197
24,13,35.41,24.18,279.3275,33.1726,5792.3539,5812.7855,20.4316
24,14,36.68,24.18,278.3935,31.9996,5806.7317,5826.968,20.2362
24,15,37.95,24.18,277.5034,30.8276,5818.5378,5841.8019,23.2642
24,16,39.22,24.18,276.6548,29.6578,5828.7246,5854.4707,25.7461
24,17,40.49,24.18,275.845,28.4915,5836.9771,5865.004,28.0269
24,18,41.76,24.18,275.0718,27.3297,5842.8732,5873.9044,31.0312
24,19,43.03,24.18,274.3331,26.1732,5848.7241,5874.5519,25.8278
24,20,44.3,24.18,273.6268,25.0231,5854.395,5887.7248,33.3297
24,21,45.57,24.18,272.951,23.88,5858.5028,5885.6199,27.1172
25,0,18.9,25.45,298.4012,46.3999,5484.3277,5400.163,-84.1647
25,1,20.17,25.45,296.602,45.4394,5513.3758,5478.8184,-34.5574
25,2,21.44,25.45,294.888,44.448,5543.7569,5521.5503,-22.2066
25,3,22.71,25.45,293.2563,43.4291,5574.0208,5562.5171,-11.5037
25,4,23.98,25.45,291.7034,42.386,5605.2399,5604.478,-0.7619
25,5,25.25,25.45,290.226,41.322,5632.292,5638.6432,6.3512
25,6,26.52,25.45,288.8205,40.2398,5655.1176,5667.8527,12.7351
25,7,27.79,25.45,287.4834,39.1422,5674.6012,5692.645,18.0438
25,8,29.06,25.45,286.211,38.0316,5696.5316,5717.6438,21.1122
25,9,30.33,25.45,285.0001,36.9105,5716.7356,5740.5438,23.8082
25,10,31.6,25.45,283.8473,35.7809,5738.6198,5763.8891,25.2692
25,11,32.87,25.45,282.7493,34.6449,5760.6106,5784.2725,23.6619
25,12,34.14,25.45,281.7031,33.5042,5783.0582,5804.6735,21.6153
25,13,35.41,25.45,280.7057,32.3606,5801.5147,5817.9053,16.3906
25,14,36.68,25.45,279.7544,31.2156,5816.3864,5832.413,16.0266
25,15,37.95,25.45,278.8466,30.0706,5827.3074,5846.4396,19.1322
25,16,39.22,25.45,277.9797,28.9268,5837.5064,5859.906,22.3995
25,17,40.49,25.45,277.1514,27.7856,5845.2011,5869.4786,24.2775
25,18,41.76,25.45,276.3596,26.6479,5851.7788,5875.6451,23.8663
25,19,43.03,25.45,275.6021,25.5147,5858.0592,5879.1867,21.1275
25,20,44.3,25.45,274.877,24.3869,5861.8721,5880.9765,19.1045
25,21,45.57,25.45,274.1825,23.2653,5866.1898,5896.4198,30.2301
26,0,18.9,26.72,299.7269,45.1239,5490.4965,5441.1604,-49.3361
26,1,20.17,26.72,297.9521,44.2012,5515.7155,5497.5027,-18.2128
26,2,21.44,26.72,296.2566,43.2475,5544.9577,5533.959,-10.9987
26,3,22.71,26.72,294.638,42.2658,5575.1015,5567.325,-7.7765
26,4,23.98,26.72,293.0934,41.2595,5605.8876,5601.6892,-4.1985
26,5,25.25,26.72,291.6202,40.2316,5630.1664,5634.3047,4.1383
26,6,26.52,26.72,290.2152,39.1847,5654.3047,5665.3135,11.0088
26,7,27.79,26.72,288.8755,38.1216,5673.7158,5688.7396,15.0238
26,8,29.06,26.72,287.5978,37.0447,5695.3107,5717.14,21.8293
26,9,30.33,26.72,286.3793,35.9564,5717.628,5741.537,23.9091
26,10,31.6,26.72,285.2168,34.8586,5742.3818,5766.8563,24.4745
26,11,32.87,26.72,284.1076,33.7535,5766.3725,5788.5501,22.1775
26,12,34.14,26.72,283.0489,32.6427,5789.0299,5807.5178,18.4879
26,13,35.41,26.72,282.0378,31.528,5810.0549,5825.2412,15.1864
26,14,36.68,26.72,281.0719,30.411,5823.5557,5838.3471,14.7914
26,15,37.95,26.72,280.1488,29.293,5834.9791,5854.1299,19.1509
26,16,39.22,26.72,279.266,28.1754,5845.1222,5868.5702,23.448
26,17,40.49,26.72,278.4215,27.0594,5852.041,5876.7374,24.6964
26,18,41.76,26.72,277.613,25.946,5857.9456,5882.8673,24.9217
26,19,43.03,26.72,276.8387,24.8363,5862.6712,5886.0493,23.3782
26,20,44.3,26.72,276.0967,23.7312,5866.1801,5886.3646,20.1845
26,21,45.57,26.72,275.3853,22.6315,5871.1597,5889.8307,18.671
27,0,18.9,27.99,300.9712,43.8394,5491.225,5477.4507,-13.7743
27,1,20.17,27.99,299.2229,42.953,5517.5226,5513.8655,-3.6571
27,2,21.44,27.99,297.5483,42.0354,5545.7574,5546.5133,0.7559
27,3,22.71,27.99,295.9455,41.0898,5573.1458,5570.1588,-2.987
27,4,23.98,27.99,294.4122,40.1191,5601.3049,5594.4056,-6.8993
27,5,25.25,27.99,292.9461,39.1263,5627.7361,5626.4673,-1.2689
27,6,26.52,27.99,291.5448,38.1139,5652.8977,5655.6527,2.7551
27,7,27.79,27.99,290.2054,37.0846,5672.2012,5683.5808,11.3796
27,8,29.06,27.99,288.9255,36.0408,5693.6779,5712.6934,19.0155
27,9,30.33,27.99,287.7023,34.9847,5717.173,5739.7815,22.6085
27,10,31.6,27.99,286.5332,33.9184,5744.4398,5768.5048,24.065
27,11,32.87,27.99,285.4156,32.8438,5770.5972,5793.9338,23.3367
27,12,34.14,27.99,284.3469,31.7628,5795.1322,5813.9578,18.8256
27,13,35.41,27.99,283.3248,30.6769,5815.1368,5830.6322,15.4954
27,14,36.68,27.99,282.3468,29.5878,5830.7059,5845.987,15.2811
27,15,37.95,27.99,281.4106,28.4968,5841.6933,5865.9254,24.2322
27,16,39.22,27.99,280.5142,27.4054,5850.3551,5877.8407,27.4856
27,17,40.49,27.99,279.6554,26.3147,5856.9191,5884.9651,28.046
27,18,41.76,27.99,278.8323,25.2257,5862.2327,5889.1825,26.9498
27,19,43.03,27.99,278.0431,24.1396,5866.3611,5891.7402,25.3792
27,20,44.3,27.99,277.2859,23.0573,5870.065,5892.018,21.953
27,21,45.57,27.99,276.5591,21.9796,5873.0523,5892.9955,19.9432
